Employee ID,Name,Email Address,Phone No.,Gender,City,Department,Joining Date,Last Review Date,Salary (INR),Monthly Revenue,Is Active?,Performance Rating,Product Sold,Units_Sold,Discount %
EMP2306,"Mehta, Meera",mehta.meera@@hotmail.com,+91-79064-77159,Male,Pune,OPERATIONS,2021/04/08,22.01.2024,165917,46738.46,T,1,Mobile,353,51%
EMP9243,Ananya Chopra,ananya.chopra@outlook.com,1848947697,WOMAN,Lucknow,Salez,"August 26, 2020",21 Jul 2023,85274,none,INACTIVE,Bad,Speaker,421,35%
EMP1474,sneha malhotra,sneha.malhotra@gmail.com,0455623869,M,Kolkata,Fin,2022/10/16,"July 30, 2023","$199,808",40329.34,FALSE,3,Smartwatch,218,29%
EMP4620,NEHA KUMAR,neha.kumar@yahoo.com,2234103469,WOMAN,Mumbai,Salez,30-Dec-23,2024-02-22,"$124,657",₹38370.26,NO,na,Monitor,199,38%
EMP9868,"Mehta, Priya",mehta.priya@gmail,8984841604,Man,Hyderabad,Engineering,12-07-2020,03-09-2022,119667.00 INR,(5791.1),N/A,2,Mobile,9,46%
,Neha Das,neha.das@yahoo.com,4931214639,WOMAN,Pune,operations,2020/10/22,"December 09, 2023",Rs.131288,40889.26,ACTIVE,5,Smartwatch,0,16%
EMP8645,RAJESH MEHTA,rajesh.mehta@hotmail.com,(501) 137-5358,MAN,Jaipur,FINANCE,06-12-2022,15-May-24,39742,23663.44,True,5,Monitor,80,12%
EMP6886,Meera Pillai,meera.pillai@company.in,+91-73203-09376,FEMALE,Ahmedabad,Sales,25-11-2021,16-01-2024,80490,33532.16,n,5,Mobile,N/A,1%
EMP4137,Aarav Mehta,aarav.mehta@gmail,+91-43375-04793,not specified,Chennai,Finence,2022/10/08,2023/09/13,58619,6807.83,n,8,Laptop,355,39%
EMP6631,Siddharth Mehta,siddharth.mehta@hotmail.com,(016) 492-8150,Male,Hyderabad,Fin,"April 24, 2022",08 Apr 2020,,26120.28,,4,Tablet,213,41%
EMP8007,arjun das,,3231829716,Woman,Chennai,HR,08-03-2020,06-05-2024,"$32,955",8663.73,false,2,Mobile,458,23%
EMP2446,Aarav Nair,aarav.nair@outlook.com,2874527193,Woman,Chennai,Mktg,05/24/2023,12-06-2020, 155892 ,48545.98,T,3,Tablet,146,4%
EMP2483,Siddharth Rao,siddharth.rao@yahoo,90227 84699,Man,Chennai,marketing,01-07-2020,2022-11-11,"$102,118",45103.25,y,Average,Smartwatch,121,37%
EMP5827,Neha Mishra,neha.mishra@outlook.com,9494079,Male,Mumbai,Engg.,"June 06, 2020","June 15, 2023","$92,359",(6021.7),FALSE,3,Smartwatch,121,51%
EMP7192,  Deepa Reddy  ,deepa.reddy@gmail.com,74932 51149,Woman,Delhi,Operations,15-08-2021,07 Aug 2021,195559.00 INR,₹5190.55,F,1,Monitor,44,37%
EMP1859,Priya,priya@gmail.com,+915962630136,F,Kolkata,Operations,11-May-24,2023-08-24,196231%,(1074.32),active,5,Monitor,382,37%
,Aditya Iyer,aditya.iyer@yahoo.com,+91-46212-76025,man,Delhi,Engineering,2020-11-10,2021/04/14,161383,44249.52,unknown,5,Monitor,305,36%
EMP2570,Meera Mehta,meera.mehta@hotmail.com,+91-20284-57652,m,Jaipur,Finence,12/25/2022,06/05/2020,29555%,none,Inactive,3,Smartwatch,,54%
EMP1266,  Meera Rao  ,meera.rao@hotmail.com,89655 83445,M,Pune,Engineering,07-Oct-22,2023-12-03,86534,20715.25,No,1,Smartwatch,328,26%
EMP5424,AARAV IYER,aarav.iyer@yahoo.com,(751) 887-8179,male,Kolkata,Engg.,27-05-2021,06/24/2023,Rs.67543,8436.82,N,3,,406,6%
EMP9175,Arjun Verma,arjun.verma@yahoo.com,+91-26460-91785,Woman,Pune,MKTG,2020/03/01,07.12.2020,133892,1658.71,N,4,Tablet,486,6%
EMP7387,"Pillai, Priya",pillai.priya@yahoo.com,5402635582,not specified,,MKTG,2021-09-22,18-08-2021, 53564 ,28026.47,Yes,2,Laptop,175,none
EMP9009,ANANYA NAIR,ananya.nair@yahoo.com,+91-29732-39644,F,Delhi,MKTG,2022/02/09,18-Jun-22,188040,8392.96,inactive,2,Tablet,,0%
,  Vikram Patel  ,vikram.patel@company.in,+912121461476,FEMALE,Hyderabad,Salez,"December 01, 2021",2021-12-16,165379,8454.11,ACTIVE,1,Headphones,N/A,52%
EMP2941,Suresh Reddy,suresh.reddy@company.in,80568 56670,F,Jaipur,marketing,10-01-2022,"August 10, 2021",34483%,21858.52,Inactive,N/A,Camera,0,12%
EMP5379,Ananya Pillai,ananya.pillai@hotmail.com,0000000000,female,Bangalore,operations,2020-03-06,2023/09/23, 143622 ,25689.36 USD,NO,2,Smartwatch,108,9%
EMP1183,Sneha Das,sneha.das@outlook.com,52308 37081,Male,Hyderabad,Mktg,26.05.2021,N/A, 28816 ,10011.52,true,N/A,Laptop,56,20%
EMP3248,Suresh Das,suresh.das@company.in,,Man,Lucknow,engineering,19 Sep 2021,2022-11-26,181699.00 INR,33126.0,N/A,na,Camera,284,51%
EMP2422,Meera Rao,,5743842150,O,Ahmedabad,Fin,24.01.2021,"February 09, 2024",62563,5363.45,FALSE,1,Mobile,,38%
EMP6567,  Aarav Nair  ,AARAV.NAIR@OUTLOOK.COM,29612 01836,Man,Pune,Finence,22-06-2020,25-03-2024,96330% ,21488.73,1,6,Mobile,348,33%
EMP3138,NEHA PANDEY,neha.pandey@gmail.com,+910417929111,f,Bangalore,marketing,2024-02-20,2023/11/02,80897,,TRUE,7,Tablet,474,8%
EMP9580,Lakshmi Bose,lakshmi.bose@company.in,N/A,woman,Delhi,H R,2024-05-07,2021-10-26,,14337.14,ACTIVE,3,Smartwatch,174,27%
EMP9849,divya shah,divya.shah@company.in,+916422405920,m,N/A,MKTG,05/31/2023,2021-06-18,173998,41450.53,,3,Tablet,44,23%
EMP9209,Priya Pillai,priya.pillai@company.in,+916188924141,M,Kolkata,Finance,2021-09-27,03-05-2021,"$138,897",$30808.69,inactive,6,,6,60%
EMP1511,Deepa Reddy,deepa.reddy@hotmail.com,0404769210,woman,Pune,SALES,05-05-2022,03/12/2020,93871%,46646.16,,1,Monitor,58,15%
EMP2030,siddharth sharma,siddharth.sharma@outlook.com,+910153017316,man,Jaipur,Marketting,06.05.2020,"June 07, 2021",-,15725.74,YES,3,Camera,470,3%
EMP5408,"Shah, Ananya",shah.ananya@yahoo.com,3733343333,male,Mumbai,OPERATIONS,11-06-2023,13-01-2023,122306,24870.85,na,5,Headphones,66,N/A
EMP3385,Meera Bose,meera.bose@yahoo.com,(434) 046-6821,man,Lucknow,operations,01.12.2020,18-12-2020,197995,40150.98,true,5,Headphones,42,29%
EMP4047,Ananya Singh,ananya.singh@hotmail.com,+91-22699-20666,man,Pune,Marketting,2023/04/23,18 Feb 2024,169925,43325.49,INACTIVE,5,Speaker,,33%
EMP2646,Deepa Sharma,deepa.sharma@hotmail.com,+91-57240-43474,m,Bangalore,Marketting,2021-10-08,16-Apr-20,76498,4127.09,1,5,Tablet,76,53%
EMP1451,  Rahul Mishra  ,rahul.mishra@hotmail.com,2637484539,woman,Jaipur,Oprns,06-10-2021,18.04.2020,43615,26723.71,0,2,Laptop,254,21%
EMP9350,Kiran Nair,kiran.nair@yahoo.com,(084) 937-8306,f,Chennai,H.R.,2022-04-08,"August 12, 2021",57675,13122.46,true,2,Tablet,417,7%
EMP2144,  Arjun Nair  ,arjun.nair@@gmail.com,0000000000,Female,Hyderabad,hr,25-01-2024,07-Jan-24,"$57,520",42429.98,F,2,Camera,125,13%
EMP8182,Kavya,kavya@@hotmail.com,(417) 159-4973,f,,Marketting,30-12-2022,12 Sep 2020,42995,12362.47,N/A,1,Tablet,286,50%
EMP3487,Ananya Reddy,ANANYA.REDDY@GMAIL.COM,N/A,woman,Hyderabad,S@les,12.08.2020,05-01-2023,105109 ,41940.0,YES,5,Monitor,269,53%
EMP9540,Deepa Joshi,deepa.joshi@yahoo.com,4089268705,Woman,Kolkata,engineering,2022/02/09,27 Aug 2022,103836,7645.41,YES,5,Speaker,105,5%
EMP9691,  Kavya Joshi  ,kavya.joshi@company.in,01573 99305,female,Jaipur,operations,20.02.2020,07-Nov-22,102708,10029.36,N/A,5,Mobile,323,55%
EMP4770,"Reddy, Kavya",reddy.kavya@yahoo.com,2643350271,MAN,Bangalore,Marketing,04-Jul-22,2021-02-25,"$57,676",9167.29,false,2,Monitor,184,20%
EMP4706,Arjun Verma,arjun.verma@outlook.com,(036) 988-8439,f,Chennai,ENGG,2020-11-30,05-01-2023,166129,(11909.33),na,6,Laptop,171,25%
EMP1653,Lakshmi Chopra,lakshmi.chopra@outlook.com,(779) 806-6039,Woman,Kolkata,Sls,"July 24, 2022",30.10.2023,90195/-,,inactive,2,Camera,386,52%
EMP3492,Siddharth Pillai,siddharth.pillai@company.in,2895171870,M,Chennai,H R,2023-11-19,2021-11-03,189311,38090.39,true,3,Mobile,51,45%
EMP8225,Priya Pandey,priya.pandey@outlook.com,9435353751,man,Pune,Finence,05.06.2020,24 May 2023,134799/-,41477.14,N/A,?,Tablet,408,20%
EMP2167,Kavya Pillai,N/A,0000000000,Male,Kolkata,Ops,11-May-21,10-01-2022,Rs.194170,30469.06,1,2,,330,24%
EMP8568,Kavya Verma,N/A,+91-92071-15238,M,Lucknow,Ops,18.05.2020,12/10/2022,153144,34476.57,T,4,Camera,282,37%
EMP7776,Rajesh Reddy,RAJESH.REDDYCOMPANY.IN,(971) 967-0683,male,N/A,sales,17-12-2021,08 May 2024,96331 ,2177.42,1,3,Speaker,337,43%
EMP5471,Divya Pandey,divya.pandey@company.in,,female,Delhi,Mktg,"April 12, 2020",09-Mar-21,124385/-,47584.6,N,5,Camera,36,41%
EMP7747,Aarav Sharma,AARAV.SHARMA@COMPANY.IN,(041) 728-2076,female,Delhi,Eng,2020/10/19,2023/02/12,165522/- ,(16673.74),Active,3,,20,35%
EMP4565,siddharth bose,siddharth.bose@gmail.com,8568119397,Man,Hyderabad,Oprns,2023/09/06,30-Jun-22, 122099 ,28233.56,1,3,Camera,276,48%
EMP7864,Aditya Bose,,3845720266,unknown,Delhi,finance,03/23/2023,06 Jul 2022,-,(44609.9),Active,4,Laptop,378,8%
EMP2941,Suresh Reddy,suresh.reddy@company.in,80568 56670,F,Jaipur,marketing,10-01-2022,"August 10, 2021",34483%,21858.52,Inactive,N/A,Camera,0,12%
EMP1312,RAJESH PILLAI,rajesh.pillai@yahoo.com,4760220695,MALE,Mumbai,Ops,01/02/2020,08-Jan-21, 173344 ,$48117.96,F,Good,Mobile,442,11%
EMP2785,RAHUL IYER,rahul.iyer@yahoo.com,+917756185374,female,Chennai,Oprns,23 Mar 2020,2021/11/02,90069,$20114.1,TRUE,4,Headphones,53,8%
EMP6409,Lakshmi Mehta,lakshmi.mehta@yahoo.com,7056227104,male,Pune,Sales,03-Jul-23,16.05.2020, 84252 ,₹1199.41,YES,3,Speaker,288,42%
EMP1805,Arjun Patel,arjun.patel@@company.in,+916343629489,Male,Mumbai,Engineering,18-04-2020,05/03/2021,97210/-,31200.93,true,3,Tablet,178,45%
EMP9592,Aditya Bose,aditya.bose@gmail.com,+91-23009-15618,Female,Kolkata,hr,28-Jul-23,08/03/2021,133923,44172.92,Active,N/A,Mobile,37,55%
EMP9551,Siddharth Nair,N/A,,F,Ahmedabad,H.R.,2020/01/19,29-Jun-21,40413/-,19147.77,T,4,Smartwatch,-1,48%
EMP8130,  Pooja Kumar  ,pooja.kumar@@gmail.com,N/A,f,Kolkata,MKTG,2023-07-14,2020-02-04,"$165,203",$36154.14,False,6,Mobile,352,5%
EMP1294,rajesh kumar,rajesh.kumar@gmail.com,(083) 566-9106,Man,Bangalore,sales,21 Apr 2024,28.11.2021,,9578.49,N,5,Tablet,269,18%
EMP3216,Priya Iyer,priya.iyer@gmail.com,5237597953,F,Hyderabad,S@les,2024-01-07,07.08.2022,154236,33248.52 USD,active,2,,286,18%
EMP3793,Suresh Iyer,suresh.iyer@hotmail.com,9623091307,m,Lucknow,Marketing,2023/12/16,22.02.2023,,(16030.75),na,3,Headphones,143,14%
EMP4504,"Bose, Meera",bose.meera@yahoo.com,4268774,Man,Pune,OPERATIONS,13 Mar 2021,01-01-2021,,,yes,5,Smartwatch,-1,25%
,"Singh, Rahul",singh.rahul@yahoo.com,(780) 774-0649,Man,Jaipur,MKTG,2021/05/26,2023-08-15,82826/-,₹21400.85,Inactive,na,Smartwatch,437,8%
EMP3418,Pooja,pooja@company.in,8297514743,M,Pune,Sales,17.04.2020,2022/01/25,N/A,31630.07,yes,1,Camera,292,none
EMP5831,  Arjun Iyer  ,arjun.iyer@company.in,,Woman,Bangalore,Fin,02-10-2021,2020/06/16,Rs.116146,8728.1,,2,Tablet,477,59%
EMP7914,Neha Iyer,neha.iyer@hotmail.com,+91-14671-79576,m,Ahmedabad,Engg.,25.03.2021,04-Jan-24,101911,19823.38,?,9,Tablet,145,5%
EMP9220,Aarav Mishra,aarav.mishra@outlook.com,+918950097519,F,Jaipur,hr,11/24/2022,06/03/2023,190324,$48040.35,F,5,Camera,6,32%
EMP5576,"Mehta, Aarav",mehta.aarav@company.in,7192817074,M,Chennai,H.R.,11.01.2021,??,Rs.72470,29591.8,ACTIVE,1,Smartwatch,229,30%
EMP5555,Lakshmi Gupta,lakshmi.gupta@hotmail.com,+911966553307,unknown,Ahmedabad,Engg.,2021-10-31,,26218,14576.11,y,1,Laptop,,26%
EMP4678,Siddharth Kumar,siddharth.kumar@gmail.com,(451) 951-5109,Man,Kolkata,Enginering,"November 08, 2023",10.08.2021,96065,33255.72,INACTIVE,,Tablet,76,24%
EMP7843,Arjun Gupta,arjun.gupta@yahoo.com,8052924075,man,Jaipur,Human Resources,17-04-2023,2020/03/06,N/A,40057.72,NO,2,Mobile,97,21%
,Rahul Das,rahul.das@company.in,+910566418775,m,Kolkata,FINANCE,09-10-2021,11/16/2021,31651,11668.59,N/A,3,Mobile,0,37%
EMP8045,Meera Reddy,meera.reddy@hotmail.com,(897) 609-8731,WOMAN,Lucknow,Eng,2022-06-15,27-Feb-20,176198,26970.88,no,2,Smartwatch,309,49%
,,,,,,,,,,,,,,,
EMP9608,Meera Chopra,meera.chopra@hotmail.com,(529) 978-7729,m,,Marketing,19 Feb 2024,2022-04-29,N/A,$32056.43,Yes,1,Camera,59,21%
EMP4625,Arjun,arjun@yahoo.com,N/A,Man,Ahmedabad,OPERATIONS,2022/08/01,2021/12/22,168273%,45886.52,False,1,Laptop,212,40%
EMP4257,Suresh Verma,suresh.verma@company.in,(830) 930-9671,female,Mumbai,ENGG,2020/04/09,24 Aug 2020,145676.00 INR,(37756.66),T,6,Speaker,67,2%
EMP5471,Divya Pandey,divya.pandey@company.in,,female,Delhi,Mktg,"April 12, 2020",09-Mar-21,124385/-,47584.6,N,5,Camera,36,41%
EMP4737,aarav malhotra,aarav.malhotra@hotmail.com,5953828040,not specified,Delhi,Oprns,2023-06-03,2023/01/29,,7757.31,y,4,Mobile,111,N/A
EMP7725,MEERA KUMAR,meera.kumar@yahoo.com,0000000000,MALE,Delhi,Salez,02/11/2022,14-06-2021, 169500 ,10129.32,y,,,437,45%
,aditya kumar,aditya.kumar@company.in,,WOMAN,Kolkata,Human Resources,14-Feb-24,11.05.2021, 128005 ,₹46637.32,N/A,5,,483,28%
EMP1354,aditya pandey,aditya.pandey@yahoo.com,3288377441,FEMALE,Mumbai,MKTG,TBD,??,33934,44714.44,yes,4,Monitor,82,54%
EMP4304,Priya Nair,priya.nair@hotmail.com,0988392,,Kolkata,HumanResources,2022-03-20,26-11-2022,42987,27704.84,Inactive,3,Headphones,207,16%
EMP7805,RAHUL REDDY,rahul.reddy@gmail.com,89219 63945,FEMALE,Bangalore,SALES,05-Sep-23,05/29/2022,N/A,24425.8,0,4,Camera,366,14%
,Aditya Iyer,ADITYA.IYER@YAHOO.COM,+91-46212-76025,man,Delhi,Engineering,2020-11-10,2021/04/14,161383 ,44249.52,unknown,5,Monitor,305,36%
EMP1348,Neha Kumar,neha.kumar@company.in,+918116403439,female,Bangalore,FINANCE,26.06.2022,31 Mar 2021,99439,22750.6,ACTIVE,1,Mobile,179,52%
EMP4678,Siddharth Kumar,siddharth.kumar@gmail.com,(451) 951-5109,Man,Kolkata,Enginering,"November 08, 2023",10.08.2021,96065,33255.72,INACTIVE,,Tablet,76,24%
EMP4749,ROHIT RAO,rohit.rao@company.in,+91-62107-81871,Woman,Delhi,hr,2020-04-18,27-08-2023,137148,₹32999.01,false,3,Headphones,,
EMP8347,Rahul Das,rahul.das@gmail.com,1768802942,,Bangalore,OPERATIONS,10/10/2022,2024-03-17,127300.00 INR,₹13938.96,1,1,Monitor,369,19%
EMP5555,Lakshmi Gupta,LAKSHMI.GUPTA@HOTMAIL.COM,+911966553307,unknown,Ahmedabad,Engg.,2021-10-31,,26218 ,14576.11,y,1,Laptop,,26%
EMP2743,Rahul Bose,,8932528809,Man,Chennai,Engineering,05/08/2021,09/22/2022,164645,6855.38,No,5,Headphones,387,12%
EMP8805,Deepa Patel,deepa.patel@hotmail.com,+914967379457,O,Pune,Eng,2021/08/10,"March 06, 2022",121489,21870.96 USD,YES,10,Speaker,321,60%
EMP5032,Kavya Joshi,kavya.joshi@outlook.com,1247601080,female,,OPERATIONS,08 Feb 2023,"March 27, 2022",48587%,$21478.36,true,Average,Tablet,445,21%
EMP8059,Lakshmi Bose,N/A,2125450809,FEMALE,Pune,ENGG,2023/05/05,2022-01-30,Rs.142095,₹42745.7,Yes,3,Mobile,198,52%
EMP8499,Ananya Singh,ananya.singh@yahoo.com,8813770285,man,Pune,finance,2020/03/23,16.09.2021,"$152,382",7572.03,Yes,2,Monitor,-1,2%
EMP7766,Kiran,kiran@yahoo,8355054296,Female,Hyderabad,Mktg,2021-05-07,11-Jun-23,29454,39041.38,n,1,Laptop,444,53%
EMP7113,Arjun Kumar,arjun.kumar@yahoo.com,2866464911,Male,Kolkata,Salez,03/15/2024,27-10-2022,Rs.135268,38955.57,Y,3,Monitor,421,50%
EMP9021,Ananya Bose,ananya.bose@gmail.com,(948) 491-0256,woman,Delhi,HR,2023/11/07,2020-10-19,"$95,089",36408.25,0,4,Tablet,182,32%
EMP8308,Lakshmi Joshi,lakshmi.joshi@gmail.com,4262037087,F,Kolkata,sales,15-09-2023,"September 14, 2023",168064,₹40059.7,F,5,Monitor,460,28%
EMP8585,Deepa Sharma,deepa.sharma@hotmail.com,6337524310,Male,Mumbai,S@les,09-Mar-20,11-12-2023,36596.00 INR,₹12099.79,False,3,Camera,396,20%
EMP1745,Meera Sharma,meera.sharma@gmail.com,(271) 094-7775,MAN,Mumbai,MKTG,31-05-2020,"February 26, 2023","$90,061",38339.95,0,?,Monitor,302,19%
EMP5107,ADITYA DAS,aditya.das@gmail.com,9755231491,MAN,Chennai,Oprns,08.11.2020,na,83071,32221.51 USD,active,9,Camera,250,11%
EMP6583,  Arjun Mehta  ,arjun.mehta@gmail,+91-83199-71791,Male,Mumbai,Engineering,24-06-2022,2023-07-06,N/A,15098.38,T,5,Laptop,238,56%
EMP7021,Meera Kumar,meera.kumar@hotmail.com,2727956878,f,Lucknow,S@les,03.07.2022,03/01/2023,168562,10506.76,y,2,Monitor,262,3%
EMP8978,Sneha,sneha@gmail.com,+912194672324,M,Hyderabad,Fin,08-Jan-24,"June 29, 2020",N/A,9999.19,unknown,5,Monitor,338,3%
EMP6789,PRIYA PANDEY,priya.pandey@outlook.com,1844421,FEMALE,Mumbai,Eng,"April 12, 2024",27.03.2020,,$23631.98,active,2,Camera,371,33%
EMP4707,Sneha Nair,sneha.nair@yahoo.com,9634064686,F,Chennai,Sales,"May 29, 2021",02/11/2024,Rs.132577,(24306.14),N/A,2,Speaker,128,4%
EMP7347,Rohit Kumar,rohit.kumar@company.in,+917252145264,man,Pune,Operations,26-Nov-21,,40964,none,y,3,Laptop,291,54%
EMP8631,Rohit Shah,rohit.shah@outlook.com,(043) 502-3850,FEMALE,Pune,ENGG,19.03.2024,2024/03/23,,8089.24,True,4,Mobile,450,
EMP1494,Meera Joshi,meera.joshi@gmail.com,88959 27411,male,Kolkata,sales,2022-08-25,01-02-2020,29389/-,$6442.32,FALSE,4,Smartwatch,112,38%
EMP6567,  Aarav Nair  ,aarav.nair@outlook.com,29612 01836,Man,Pune,Finence,22-06-2020,25-03-2024,96330%,21488.73,1,6,Mobile,348,33%
EMP6567,  Kavya Mishra  ,kavya.mishra@gmail.com,0717327980,Woman,Bangalore,Operations,08-04-2020,12 Aug 2021,Rs.28199,(44914.49),TRUE,2,Smartwatch,-1,58%
EMP3592,Aarav Singh,aarav.singh@hotmail.com,+91-13671-57787,male,Kolkata,Mktg,02.04.2022,02-Dec-21,"$149,838",23001.64,N/A,3,Speaker,-1,30%
EMP6375,Neha Nair,neha.nair@outlook.com,+91-17882-24731,man,Jaipur,HR,09/13/2022,20-12-2021, 175565 ,(550.77),T,1,Speaker,451,N/A
EMP5458,Meera Kumar,meera.kumar@hotmail.com,+91-50208-02144,Male,Delhi,Salez,20.03.2021,17.10.2022, 33319 ,42255.54,T,5,Headphones,129,53%
EMP5430,Rohit Nair,rohit.nair@yahoo.com,+91-68827-69704,male,Mumbai,FINANCE,18.08.2020,09 Oct 2022,99479,40519.76,ACTIVE,1,Monitor,440,42%
EMP3286,Sneha Sharma,sneha.sharmagmail.com,,woman,Lucknow,HR,2024/04/03,"November 27, 2021","$113,236",none,Yes,?,Speaker,-1,39%
EMP8259,rahul patel,rahul.patel@gmail.com,9063224815,N/A,Hyderabad,Enginering,"December 25, 2023",??,131309,28439.2,YES,3,Camera,347,22%
EMP1945,Aditya Singh,aditya.singh@hotmail.com,4064039106,Male,Mumbai,Marketing,2021-08-10,2020-10-04,125264%,none,active,1.6,Mobile,276,8%
EMP5263,Suresh Pillai,suresh.pillai@hotmail.com,,female,Hyderabad,Ops,18.07.2022,29 Aug 2023,165356,36452.47,Yes,3,Tablet,327,55%
EMP7292,Deepa Kumar,deepa.kumar@company.in,0941017590,MAN,Lucknow,Fin,"February 04, 2021","October 22, 2023",67490.00 INR,26662.21,True,1,Tablet,185,36%
EMP4845,Rahul,rahul@outlook.com,N/A,m,Jaipur,ENGG,05-07-2021,15-Jun-22,41949,8981.39,False,4,Tablet,-1,46%
EMP6489,Aditya,aditya@hotmail.com,(126) 861-2059,WOMAN,Ahmedabad,HR,05-Sep-20,12.04.2020,113463,$38458.27,Yes,1,Smartwatch,306,46%
EMP5169,RAHUL PATEL,rahul.pateloutlook.com,4752311232,na,Lucknow,OPERATIONS,10/29/2023,2024-05-03,88673,32430.71,TRUE,5,Tablet,460,45%
EMP9868,"Mehta, Priya",MEHTA.PRIYA@GMAIL,8984841604,Man,Hyderabad,Engineering,12-07-2020,03-09-2022,119667.00 INR ,(5791.1),N/A,2,Mobile,9,46%
EMP2754,Sneha Kumar,sneha.kumar@yahoo.com,21175 36170,female,Kolkata,marketing,21-Jul-23,na,N/A,$30529.42,na,5,Laptop,380,7%
EMP3292,"Das, Siddharth",das.siddharth@gmail.com,50163 15999,Female,Ahmedabad,Mktg,2021-12-29,2023-10-24,187166/-,$12699.26,YES,7,Camera,47,N/A
EMP1459,Rohit Verma,rohit.verma@yahoo.com,0000000000,MALE,Lucknow,Finance,28-Feb-23,10/06/2021,27222,37708.13,no,8,Mobile,460,6%
EMP9064,sneha shah,sneha.shah@@company.in,+91-33872-20542,man,Chennai,FINANCE,28 Jan 2021,04 Jan 2020,100994/-,22419.52,y,Excellent,Camera,0,
EMP3977,Kiran Bose,kiran.bose@company.in,(289) 666-0534,MALE,Kolkata,Sales,02-Aug-20,24 Oct 2021,191412,20774.94 USD,,5,Tablet,110,
EMP9418,ananya reddy,ananya.reddy@gmail.com,+916484229405,Other,Pune,Finance,"May 03, 2024",18.03.2023,,47870.89,FALSE,5,Camera,110,21%
EMP5333,kavya reddy,kavya.reddyhotmail.com,0766534460,M,Ahmedabad,Mktg,"July 22, 2023",02/21/2020,112266/-,18614.57,0,3,Tablet,180,26%
EMP6492,Priya Nair,N/A,05224 11420,female,Chennai,HumanResources,TBD,19 May 2022,Rs.161133,(7216.33),yes,5,Tablet,0,1%
EMP2639,Pooja Reddy,pooja.reddy@hotmail.com,+91-01799-93242,m,Chennai,HR,23-Apr-24,04.07.2021,112881,25298.67,Active,,Smartwatch,190,24%
