,Employee ID,Name,Email Address,Phone No.,Gender,City,Department,Joining Date,Last Review Date,Salary (INR),Monthly Revenue,Is Active?,Performance Rating,Product Sold,Units_Sold,Discount %
12,EMP4059,Neha Gupta,neha.gupta@gmail.com,7461917798,Female,Delhi,Engineering,2022-11-23,2024-03-15,164497.0,26457.14,Active,3.0,Smartwatch,340.0,23.0
13,EMP5221,Siddharth Patel,siddharth.patel@gmail.com,8333721885,Male,Bangalore,Engineering,2022-09-12,2020-04-26,138290.0,23922.12,Active,4.0,Monitor,203.0,25.0
14,EMP1924,Arjun Pandey,arjun.pandey@gmail.com,7631774954,Other,Chennai,Operations,2023-03-05,2021-12-01,72398.0,4262.67,Inactive,3.0,Smartwatch,78.0,32.0
15,EMP4304,Vikram Bose,vikram.bose@gmail.com,7169385977,Male,Ahmedabad,HR,2023-12-28,2020-12-24,186935.0,23162.49,Active,1.0,Tablet,322.0,42.0
16,EMP9653,Divya,divya@company.in,3978559821,Female,Delhi,Finance,2020-07-25,,90898.0,18216.31,Active,5.0,Smartwatch,30.0,57.0
17,EMP4748,Meera Mehta,meera.mehta@outlook.com,,Male,Ahmedabad,Sales,2023-10-18,2022-11-20,186555.0,41654.17,Active,3.0,Laptop,494.0,59.0
18,EMP2306,"Mehta, Meera",mehta.meera@hotmail.com,7906477159,Male,Pune,Operations,2021-04-08,2024-01-22,165917.0,46738.46,Active,1.0,Mobile,353.0,51.0
19,EMP9243,Ananya Chopra,ananya.chopra@outlook.com,1848947697,Female,Lucknow,Sales,2020-08-26,2023-07-21,85274.0,25109.35951219512,Inactive,2.0,Speaker,421.0,35.0
20,EMP1474,Sneha Malhotra,sneha.malhotra@gmail.com,0455623869,Male,Kolkata,Finance,2022-10-16,2023-07-30,199808.0,40329.34,Inactive,3.0,Smartwatch,218.0,29.0
21,EMP4620,Neha Kumar,neha.kumar@yahoo.com,2234103469,Female,Mumbai,Sales,2023-12-30,2024-02-22,124657.0,38370.26,Inactive,3.0,Monitor,199.0,38.0
22,EMP9868,"Mehta, Priya",mehta.priya@gmail.com,8984841604,Male,Hyderabad,Engineering,2020-12-07,2022-03-09,119667.0,5791.1,Active,2.0,Mobile,9.0,46.0
23,,Neha Das,neha.das@yahoo.com,4931214639,Female,Pune,Operations,2020-10-22,2023-12-09,131288.0,40889.26,Active,5.0,Smartwatch,0.0,16.0
24,EMP8645,Rajesh Mehta,rajesh.mehta@hotmail.com,5011375358,Male,Jaipur,Finance,2022-06-12,2024-05-15,39742.0,23663.44,Active,5.0,Monitor,80.0,12.0
25,EMP6886,Meera Pillai,meera.pillai@company.in,7320309376,Female,Ahmedabad,Sales,2021-11-25,2024-01-16,80490.0,33532.16,Inactive,5.0,Mobile,247.0,1.0
26,EMP4137,Aarav Mehta,aarav.mehta@gmail.com,4337504793,Unknown,Chennai,Finance,2022-10-08,2023-09-13,58619.0,6807.83,Inactive,3.0,Laptop,355.0,39.0
27,EMP6631,Siddharth Mehta,siddharth.mehta@hotmail.com,0164928150,Male,Hyderabad,Finance,2022-04-24,2020-04-08,112994.22453222453,26120.28,Active,4.0,Tablet,213.0,41.0
28,EMP8007,Arjun Das,,3231829716,Female,Chennai,HR,2020-08-03,2024-06-05,32955.0,8663.73,Inactive,2.0,Mobile,458.0,23.0
29,EMP2446,Aarav Nair,aarav.nair@outlook.com,2874527193,Female,Chennai,Marketing,2023-05-24,2020-12-06,155892.0,48545.98,Active,3.0,Tablet,146.0,4.0
30,EMP2483,Siddharth Rao,siddharth.rao@yahoo.com,9022784699,Male,Chennai,Marketing,2020-01-07,2022-11-11,102118.0,45103.25,Active,3.0,Smartwatch,121.0,37.0
31,EMP5827,Neha Mishra,neha.mishra@outlook.com,,Male,Mumbai,Engineering,2020-06-06,2023-06-15,92359.0,6021.7,Inactive,3.0,Smartwatch,121.0,51.0
32,EMP7192,  Deepa Reddy  ,deepa.reddy@gmail.com,7493251149,Female,Delhi,Operations,2021-08-15,2021-08-07,195559.0,5190.55,Inactive,1.0,Monitor,44.0,37.0
33,EMP1859,Priya,priya@gmail.com,5962630136,Female,Kolkata,Operations,2024-05-11,2023-08-24,196231.0,1074.32,Active,5.0,Monitor,382.0,37.0
34,,Aditya Iyer,aditya.iyer@yahoo.com,4621276025,Male,Delhi,Engineering,2020-11-10,2021-04-14,161383.0,44249.52,Active,5.0,Monitor,305.0,36.0
35,EMP2570,Meera Mehta,meera.mehta@hotmail.com,2028457652,Male,Jaipur,Finance,2022-12-25,2020-06-05,29555.0,25109.35951219512,Inactive,3.0,Smartwatch,247.0,54.0
36,EMP1266,  Meera Rao  ,meera.rao@hotmail.com,8965583445,Male,Pune,Engineering,2022-10-07,2023-12-03,86534.0,20715.25,Inactive,1.0,Smartwatch,328.0,26.0
37,EMP5424,Aarav Iyer,aarav.iyer@yahoo.com,7518878179,Male,Kolkata,Engineering,2021-05-27,2023-06-24,67543.0,8436.82,Inactive,3.0,Tablet,406.0,6.0
38,EMP9175,Arjun Verma,arjun.verma@yahoo.com,2646091785,Female,Pune,Marketing,2020-03-01,2020-07-12,133892.0,1658.71,Inactive,4.0,Tablet,486.0,6.0
39,EMP7387,"Pillai, Priya",pillai.priya@yahoo.com,5402635582,Unknown,,Marketing,2021-09-22,2021-08-18,53564.0,28026.47,Active,2.0,Laptop,175.0,30.0
40,EMP9009,Ananya Nair,ananya.nair@yahoo.com,2973239644,Female,Delhi,Marketing,2022-02-09,2022-06-18,188040.0,8392.96,Inactive,2.0,Tablet,247.0,0.0
41,,  Vikram Patel  ,vikram.patel@company.in,2121461476,Female,Hyderabad,Sales,2021-12-01,2021-12-16,165379.0,8454.11,Active,1.0,Headphones,247.0,52.0
42,EMP2941,Suresh Reddy,suresh.reddy@company.in,8056856670,Female,Jaipur,Marketing,2022-10-01,2021-08-10,34483.0,21858.52,Inactive,3.0,Camera,0.0,12.0
43,EMP5379,Ananya Pillai,ananya.pillai@hotmail.com,,Female,Bangalore,Operations,2020-03-06,2023-09-23,143622.0,25689.36,Inactive,2.0,Smartwatch,108.0,9.0
44,EMP1183,Sneha Das,sneha.das@outlook.com,5230837081,Male,Hyderabad,Marketing,2021-05-26,,28816.0,10011.52,Active,3.0,Laptop,56.0,20.0
45,EMP3248,Suresh Das,suresh.das@company.in,,Male,Lucknow,Engineering,2021-09-19,2022-11-26,181699.0,33126.0,Active,3.0,Camera,284.0,51.0
46,EMP2422,Meera Rao,,5743842150,Other,Ahmedabad,Finance,2021-01-24,2024-02-09,62563.0,5363.45,Inactive,1.0,Mobile,247.0,38.0
48,EMP3138,Neha Pandey,neha.pandey@gmail.com,0417929111,Female,Bangalore,Marketing,2024-02-20,2023-11-02,80897.0,25109.35951219512,Active,3.0,Tablet,474.0,8.0
49,EMP9580,Lakshmi Bose,lakshmi.bose@company.in,,Female,Delhi,HR,2024-05-07,2021-10-26,112994.22453222453,14337.14,Active,3.0,Smartwatch,174.0,27.0
50,EMP9849,Divya Shah,divya.shah@company.in,6422405920,Male,,Marketing,2023-05-31,2021-06-18,173998.0,41450.53,Active,3.0,Tablet,44.0,23.0
51,EMP9209,Priya Pillai,priya.pillai@company.in,6188924141,Male,Kolkata,Finance,2021-09-27,2021-03-05,138897.0,30808.69,Inactive,3.0,Tablet,6.0,60.0
52,EMP1511,Deepa Reddy,deepa.reddy@hotmail.com,0404769210,Female,Pune,Sales,2022-05-05,2020-03-12,93871.0,46646.16,Active,1.0,Monitor,58.0,15.0
53,EMP2030,Siddharth Sharma,siddharth.sharma@outlook.com,0153017316,Male,Jaipur,Marketing,2020-06-05,2021-06-07,112994.22453222453,15725.74,Active,3.0,Camera,470.0,3.0
54,EMP5408,"Shah, Ananya",shah.ananya@yahoo.com,3733343333,Male,Mumbai,Operations,2023-11-06,2023-01-13,122306.0,24870.85,Active,5.0,Headphones,66.0,30.0
55,EMP3385,Meera Bose,meera.bose@yahoo.com,4340466821,Male,Lucknow,Operations,2020-01-12,2020-12-18,197995.0,40150.98,Active,5.0,Headphones,42.0,29.0
56,EMP4047,Ananya Singh,ananya.singh@hotmail.com,2269920666,Male,Pune,Marketing,2023-04-23,2024-02-18,169925.0,43325.49,Inactive,5.0,Speaker,247.0,33.0
57,EMP2646,Deepa Sharma,deepa.sharma@hotmail.com,5724043474,Male,Bangalore,Marketing,2021-10-08,2020-04-16,76498.0,4127.09,Active,5.0,Tablet,76.0,53.0
58,EMP1451,  Rahul Mishra  ,rahul.mishra@hotmail.com,2637484539,Female,Jaipur,Operations,2021-06-10,2020-04-18,43615.0,26723.71,Inactive,2.0,Laptop,254.0,21.0
59,EMP9350,Kiran Nair,kiran.nair@yahoo.com,0849378306,Female,Chennai,HR,2022-04-08,2021-08-12,57675.0,13122.46,Active,2.0,Tablet,417.0,7.0
60,EMP2144,  Arjun Nair  ,arjun.nair@gmail.com,,Female,Hyderabad,HR,2024-01-25,2024-01-07,57520.0,42429.98,Inactive,2.0,Camera,125.0,13.0
61,EMP8182,Kavya,kavya@hotmail.com,4171594973,Female,,Marketing,2022-12-30,2020-09-12,42995.0,12362.47,Active,1.0,Tablet,286.0,50.0
62,EMP3487,Ananya Reddy,ananya.reddy@gmail.com,,Female,Hyderabad,Sales,2020-12-08,2023-05-01,105109.0,41940.0,Active,5.0,Monitor,269.0,53.0
63,EMP9540,Deepa Joshi,deepa.joshi@yahoo.com,4089268705,Female,Kolkata,Engineering,2022-02-09,2022-08-27,103836.0,7645.41,Active,5.0,Speaker,105.0,5.0
64,EMP9691,  Kavya Joshi  ,kavya.joshi@company.in,0157399305,Female,Jaipur,Operations,2020-02-20,2022-11-07,102708.0,10029.36,Active,5.0,Mobile,323.0,55.0
65,EMP4770,"Reddy, Kavya",reddy.kavya@yahoo.com,2643350271,Male,Bangalore,Marketing,2022-07-04,2021-02-25,57676.0,9167.29,Inactive,2.0,Monitor,184.0,20.0
66,EMP4706,Arjun Verma,arjun.verma@outlook.com,0369888439,Female,Chennai,Engineering,2020-11-30,2023-05-01,166129.0,11909.33,Active,3.0,Laptop,171.0,25.0
67,EMP1653,Lakshmi Chopra,lakshmi.chopra@outlook.com,7798066039,Female,Kolkata,Sales,2022-07-24,2023-10-30,90195.0,25109.35951219512,Inactive,2.0,Camera,386.0,52.0
68,EMP3492,Siddharth Pillai,siddharth.pillai@company.in,2895171870,Male,Chennai,HR,2023-11-19,2021-11-03,189311.0,38090.39,Active,3.0,Mobile,51.0,45.0
69,EMP8225,Priya Pandey,priya.pandey@outlook.com,9435353751,Male,Pune,Finance,2020-05-06,2023-05-24,134799.0,41477.14,Active,3.0,Tablet,408.0,20.0
70,EMP2167,Kavya Pillai,,,Male,Kolkata,Operations,2021-05-11,2022-10-01,194170.0,30469.06,Active,2.0,Tablet,330.0,24.0
71,EMP8568,Kavya Verma,,9207115238,Male,Lucknow,Operations,2020-05-18,2022-12-10,153144.0,34476.57,Active,4.0,Camera,282.0,37.0
72,EMP7776,Rajesh Reddy,rajesh.reddy@company.in,9719670683,Male,,Sales,2021-12-17,2024-05-08,96331.0,2177.42,Active,3.0,Speaker,337.0,43.0
73,EMP5471,Divya Pandey,divya.pandey@company.in,,Female,Delhi,Marketing,2020-04-12,2021-03-09,124385.0,47584.6,Inactive,5.0,Camera,36.0,41.0
74,EMP7747,Aarav Sharma,aarav.sharma@company.in,0417282076,Female,Delhi,Engineering,2020-10-19,2023-02-12,165522.0,16673.74,Active,3.0,Tablet,20.0,35.0
75,EMP4565,Siddharth Bose,siddharth.bose@gmail.com,8568119397,Male,Hyderabad,Operations,2023-09-06,2022-06-30,122099.0,28233.56,Active,3.0,Camera,276.0,48.0
76,EMP7864,Aditya Bose,,3845720266,Unknown,Delhi,Finance,2023-03-23,2022-07-06,112994.22453222453,44609.9,Active,4.0,Laptop,378.0,8.0
77,EMP1312,Rajesh Pillai,rajesh.pillai@yahoo.com,4760220695,Male,Mumbai,Operations,2020-01-02,2021-01-08,173344.0,48117.96,Inactive,4.0,Mobile,442.0,11.0
78,EMP2785,Rahul Iyer,rahul.iyer@yahoo.com,7756185374,Female,Chennai,Operations,2020-03-23,2021-11-02,90069.0,20114.1,Active,4.0,Headphones,53.0,8.0
79,EMP6409,Lakshmi Mehta,lakshmi.mehta@yahoo.com,7056227104,Male,Pune,Sales,2023-07-03,2020-05-16,84252.0,1199.41,Active,3.0,Speaker,288.0,42.0
80,EMP1805,Arjun Patel,arjun.patel@company.in,6343629489,Male,Mumbai,Engineering,2020-04-18,2021-05-03,97210.0,31200.93,Active,3.0,Tablet,178.0,45.0
81,EMP9592,Aditya Bose,aditya.bose@gmail.com,2300915618,Female,Kolkata,HR,2023-07-28,2021-08-03,133923.0,44172.92,Active,3.0,Mobile,37.0,55.0
82,EMP9551,Siddharth Nair,,,Female,Ahmedabad,HR,2020-01-19,2021-06-29,40413.0,19147.77,Active,4.0,Smartwatch,247.0,48.0
83,EMP8130,  Pooja Kumar  ,pooja.kumar@gmail.com,,Female,Kolkata,Marketing,2023-07-14,2020-02-04,165203.0,36154.14,Inactive,3.0,Mobile,352.0,5.0
84,EMP1294,Rajesh Kumar,rajesh.kumar@gmail.com,0835669106,Male,Bangalore,Sales,2024-04-21,2021-11-28,112994.22453222453,9578.49,Inactive,5.0,Tablet,269.0,18.0
85,EMP3216,Priya Iyer,priya.iyer@gmail.com,5237597953,Female,Hyderabad,Sales,2024-01-07,2022-07-08,154236.0,33248.52,Active,2.0,Tablet,286.0,18.0
86,EMP3793,Suresh Iyer,suresh.iyer@hotmail.com,9623091307,Male,Lucknow,Marketing,2023-12-16,2023-02-22,112994.22453222453,16030.75,Active,3.0,Headphones,143.0,14.0
87,EMP4504,"Bose, Meera",bose.meera@yahoo.com,,Male,Pune,Operations,2021-03-13,2021-01-01,112994.22453222453,25109.35951219512,Active,5.0,Smartwatch,247.0,25.0
88,,"Singh, Rahul",singh.rahul@yahoo.com,7807740649,Male,Jaipur,Marketing,2021-05-26,2023-08-15,82826.0,21400.85,Inactive,3.0,Smartwatch,437.0,8.0
89,EMP3418,Pooja,pooja@company.in,8297514743,Male,Pune,Sales,2020-04-17,2022-01-25,112994.22453222453,31630.07,Active,1.0,Camera,292.0,30.0
90,EMP5831,  Arjun Iyer  ,arjun.iyer@company.in,,Female,Bangalore,Finance,2021-02-10,2020-06-16,116146.0,8728.1,Active,2.0,Tablet,477.0,59.0
91,EMP7914,Neha Iyer,neha.iyer@hotmail.com,1467179576,Male,Ahmedabad,Engineering,2021-03-25,2024-01-04,101911.0,19823.38,Active,3.0,Tablet,145.0,5.0
92,EMP9220,Aarav Mishra,aarav.mishra@outlook.com,8950097519,Female,Jaipur,HR,2022-11-24,2023-06-03,190324.0,48040.35,Inactive,5.0,Camera,6.0,32.0
93,EMP5576,"Mehta, Aarav",mehta.aarav@company.in,7192817074,Male,Chennai,HR,2021-11-01,,72470.0,29591.8,Active,1.0,Smartwatch,229.0,30.0
94,EMP5555,Lakshmi Gupta,lakshmi.gupta@hotmail.com,1966553307,Unknown,Ahmedabad,Engineering,2021-10-31,,26218.0,14576.11,Active,1.0,Laptop,247.0,26.0
95,EMP4678,Siddharth Kumar,siddharth.kumar@gmail.com,4519515109,Male,Kolkata,Engineering,2023-11-08,2021-10-08,96065.0,33255.72,Inactive,3.0,Tablet,76.0,24.0
96,EMP7843,Arjun Gupta,arjun.gupta@yahoo.com,8052924075,Male,Jaipur,HR,2023-04-17,2020-03-06,112994.22453222453,40057.72,Inactive,2.0,Mobile,97.0,21.0
97,,Rahul Das,rahul.das@company.in,0566418775,Male,Kolkata,Finance,2021-09-10,2021-11-16,31651.0,11668.59,Active,3.0,Mobile,0.0,37.0
98,EMP8045,Meera Reddy,meera.reddy@hotmail.com,8976098731,Female,Lucknow,Engineering,2022-06-15,2020-02-27,176198.0,26970.88,Inactive,2.0,Smartwatch,309.0,49.0
99,EMP9608,Meera Chopra,meera.chopra@hotmail.com,5299787729,Male,,Marketing,2024-02-19,2022-04-29,112994.22453222453,32056.43,Active,1.0,Camera,59.0,21.0
100,EMP4625,Arjun,arjun@yahoo.com,,Male,Ahmedabad,Operations,2022-08-01,2021-12-22,168273.0,45886.52,Inactive,1.0,Laptop,212.0,40.0
101,EMP4257,Suresh Verma,suresh.verma@company.in,8309309671,Female,Mumbai,Engineering,2020-04-09,2020-08-24,145676.0,37756.66,Active,3.0,Speaker,67.0,2.0
102,EMP4737,Aarav Malhotra,aarav.malhotra@hotmail.com,5953828040,Unknown,Delhi,Operations,2023-06-03,2023-01-29,112994.22453222453,7757.31,Active,4.0,Mobile,111.0,30.0
103,EMP7725,Meera Kumar,meera.kumar@yahoo.com,,Male,Delhi,Sales,2022-02-11,2021-06-14,169500.0,10129.32,Active,3.0,Tablet,437.0,45.0
104,,Aditya Kumar,aditya.kumar@company.in,,Female,Kolkata,HR,2024-02-14,2021-11-05,128005.0,46637.32,Active,5.0,Tablet,483.0,28.0
105,EMP1354,Aditya Pandey,aditya.pandey@yahoo.com,3288377441,Female,Mumbai,Marketing,,,33934.0,44714.44,Active,4.0,Monitor,82.0,54.0
106,EMP4304,Priya Nair,priya.nair@hotmail.com,,Unknown,Kolkata,HR,2022-03-20,2022-11-26,42987.0,27704.84,Inactive,3.0,Headphones,207.0,16.0
107,EMP7805,Rahul Reddy,rahul.reddy@gmail.com,8921963945,Female,Bangalore,Sales,2023-09-05,2022-05-29,112994.22453222453,24425.8,Inactive,4.0,Camera,366.0,14.0
108,EMP1348,Neha Kumar,neha.kumar@company.in,8116403439,Female,Bangalore,Finance,2022-06-26,2021-03-31,99439.0,22750.6,Active,1.0,Mobile,179.0,52.0
109,EMP4749,Rohit Rao,rohit.rao@company.in,6210781871,Female,Delhi,HR,2020-04-18,2023-08-27,137148.0,32999.01,Inactive,3.0,Headphones,247.0,30.0
110,EMP8347,Rahul Das,rahul.das@gmail.com,1768802942,Unknown,Bangalore,Operations,2022-10-10,2024-03-17,127300.0,13938.96,Active,1.0,Monitor,369.0,19.0
111,EMP2743,Rahul Bose,,8932528809,Male,Chennai,Engineering,2021-05-08,2022-09-22,164645.0,6855.38,Inactive,5.0,Headphones,387.0,12.0
112,EMP8805,Deepa Patel,deepa.patel@hotmail.com,4967379457,Other,Pune,Engineering,2021-08-10,2022-03-06,121489.0,21870.96,Active,3.0,Speaker,321.0,60.0
113,EMP5032,Kavya Joshi,kavya.joshi@outlook.com,1247601080,Female,,Operations,2023-02-08,2022-03-27,48587.0,21478.36,Active,3.0,Tablet,445.0,21.0
114,EMP8059,Lakshmi Bose,,2125450809,Female,Pune,Engineering,2023-05-05,2022-01-30,142095.0,42745.7,Active,3.0,Mobile,198.0,52.0
115,EMP8499,Ananya Singh,ananya.singh@yahoo.com,8813770285,Male,Pune,Finance,2020-03-23,2021-09-16,152382.0,7572.03,Active,2.0,Monitor,247.0,2.0
116,EMP7766,Kiran,kiran@yahoo.com,8355054296,Female,Hyderabad,Marketing,2021-05-07,2023-06-11,29454.0,39041.38,Inactive,1.0,Laptop,444.0,53.0
117,EMP7113,Arjun Kumar,arjun.kumar@yahoo.com,2866464911,Male,Kolkata,Sales,2024-03-15,2022-10-27,135268.0,38955.57,Active,3.0,Monitor,421.0,50.0
118,EMP9021,Ananya Bose,ananya.bose@gmail.com,9484910256,Female,Delhi,HR,2023-11-07,2020-10-19,95089.0,36408.25,Inactive,4.0,Tablet,182.0,32.0
119,EMP8308,Lakshmi Joshi,lakshmi.joshi@gmail.com,4262037087,Female,Kolkata,Sales,2023-09-15,2023-09-14,168064.0,40059.7,Inactive,5.0,Monitor,460.0,28.0
121,EMP1745,Meera Sharma,meera.sharma@gmail.com,2710947775,Male,Mumbai,Marketing,2020-05-31,2023-02-26,90061.0,38339.95,Inactive,3.0,Monitor,302.0,19.0
122,EMP5107,Aditya Das,aditya.das@gmail.com,9755231491,Male,Chennai,Operations,2020-08-11,,83071.0,32221.51,Active,3.0,Camera,250.0,11.0
123,EMP6583,  Arjun Mehta  ,arjun.mehta@gmail.com,8319971791,Male,Mumbai,Engineering,2022-06-24,2023-07-06,112994.22453222453,15098.38,Active,5.0,Laptop,238.0,56.0
124,EMP7021,Meera Kumar,meera.kumar@hotmail.com,2727956878,Female,Lucknow,Sales,2022-03-07,2023-03-01,168562.0,10506.76,Active,2.0,Monitor,262.0,3.0
125,EMP8978,Sneha,sneha@gmail.com,2194672324,Male,Hyderabad,Finance,2024-01-08,2020-06-29,112994.22453222453,9999.19,Active,5.0,Monitor,338.0,3.0
127,EMP4707,Sneha Nair,sneha.nair@yahoo.com,9634064686,Female,Chennai,Sales,2021-05-29,2024-02-11,132577.0,24306.14,Active,2.0,Speaker,128.0,4.0
128,EMP7347,Rohit Kumar,rohit.kumar@company.in,7252145264,Male,Pune,Operations,2021-11-26,,40964.0,25109.35951219512,Active,3.0,Laptop,291.0,54.0
129,EMP8631,Rohit Shah,rohit.shah@outlook.com,0435023850,Female,Pune,Engineering,2024-03-19,2024-03-23,112994.22453222453,8089.24,Active,4.0,Mobile,450.0,30.0
130,EMP1494,Meera Joshi,meera.joshi@gmail.com,8895927411,Male,Kolkata,Sales,2022-08-25,2020-01-02,29389.0,6442.32,Inactive,4.0,Smartwatch,112.0,38.0
131,EMP6567,  Kavya Mishra  ,kavya.mishra@gmail.com,0717327980,Female,Bangalore,Operations,2020-08-04,2021-08-12,28199.0,44914.49,Active,2.0,Smartwatch,247.0,58.0
132,EMP3592,Aarav Singh,aarav.singh@hotmail.com,1367157787,Male,Kolkata,Marketing,2022-02-04,2021-12-02,149838.0,23001.64,Active,3.0,Speaker,247.0,30.0
133,EMP6375,Neha Nair,neha.nair@outlook.com,1788224731,Male,Jaipur,HR,2022-09-13,2021-12-20,175565.0,550.77,Active,1.0,Speaker,451.0,30.0
135,EMP5430,Rohit Nair,rohit.nair@yahoo.com,6882769704,Male,Mumbai,Finance,2020-08-18,2022-10-09,99479.0,40519.76,Active,1.0,Monitor,440.0,42.0
136,EMP3286,Sneha Sharma,sneha.sharma@gmail.com,,Female,Lucknow,HR,2024-04-03,2021-11-27,113236.0,25109.35951219512,Active,3.0,Speaker,247.0,39.0
137,EMP8259,Rahul Patel,rahul.patel@gmail.com,9063224815,Unknown,Hyderabad,Engineering,2023-12-25,,131309.0,28439.2,Active,3.0,Camera,347.0,22.0
138,EMP1945,Aditya Singh,aditya.singh@hotmail.com,4064039106,Male,Mumbai,Marketing,2021-08-10,2020-10-04,125264.0,25109.35951219512,Active,2.0,Mobile,276.0,8.0
139,EMP5263,Suresh Pillai,suresh.pillai@hotmail.com,,Female,Hyderabad,Operations,2022-07-18,2023-08-29,165356.0,36452.47,Active,3.0,Tablet,327.0,55.0
140,EMP7292,Deepa Kumar,deepa.kumar@company.in,0941017590,Male,Lucknow,Finance,2021-02-04,2023-10-22,67490.0,26662.21,Active,1.0,Tablet,185.0,36.0
141,EMP4845,Rahul,rahul@outlook.com,,Male,Jaipur,Engineering,2021-05-07,2022-06-15,41949.0,8981.39,Inactive,4.0,Tablet,247.0,46.0
142,EMP6489,Aditya,aditya@hotmail.com,1268612059,Female,Ahmedabad,HR,2020-09-05,2020-12-04,113463.0,38458.27,Active,1.0,Smartwatch,306.0,46.0
143,EMP5169,Rahul Patel,rahul.patel@outlook.com,4752311232,Unknown,Lucknow,Operations,2023-10-29,2024-05-03,88673.0,32430.71,Active,5.0,Tablet,460.0,45.0
144,EMP2754,Sneha Kumar,sneha.kumar@yahoo.com,2117536170,Female,Kolkata,Marketing,2023-07-21,,112994.22453222453,30529.42,Active,5.0,Laptop,380.0,7.0
145,EMP3292,"Das, Siddharth",das.siddharth@gmail.com,5016315999,Female,Ahmedabad,Marketing,2021-12-29,2023-10-24,187166.0,12699.26,Active,3.0,Camera,47.0,30.0
146,EMP1459,Rohit Verma,rohit.verma@yahoo.com,,Male,Lucknow,Finance,2023-02-28,2021-10-06,27222.0,37708.13,Inactive,3.0,Mobile,460.0,6.0
147,EMP9064,Sneha Shah,sneha.shah@company.in,3387220542,Male,Chennai,Finance,2021-01-28,2020-01-04,100994.0,22419.52,Active,5.0,Camera,0.0,30.0
148,EMP3977,Kiran Bose,kiran.bose@company.in,2896660534,Male,Kolkata,Sales,2020-08-02,2021-10-24,191412.0,20774.94,Active,5.0,Tablet,110.0,30.0
150,EMP5333,Kavya Reddy,kavya.reddy@hotmail.com,0766534460,Male,Ahmedabad,Marketing,2023-07-22,2020-02-21,112266.0,18614.57,Inactive,3.0,Tablet,180.0,26.0
151,EMP6492,Priya Nair,,0522411420,Female,Chennai,HR,,2022-05-19,161133.0,7216.33,Active,5.0,Tablet,0.0,1.0
152,EMP2639,Pooja Reddy,pooja.reddy@hotmail.com,0179993242,Male,Chennai,HR,2024-04-23,2021-04-07,112881.0,25298.67,Active,3.0,Smartwatch,190.0,24.0
154,EMP3387,Pooja Kumar,pooja.kumar@yahoo.com,5951434682,Female,Chennai,Operations,2020-03-01,,112994.22453222453,45413.28,Active,5.0,Mobile,99.0,21.0
155,EMP1081,Rajesh Kumar,rajesh.kumar@outlook.com,4287738363,Male,Mumbai,Engineering,2022-03-30,2022-12-04,66574.0,44032.58,Active,3.0,Mobile,399.0,29.0
156,EMP3291,  Rajesh Shah  ,rajesh.shah@company.in,5896933539,Male,Kolkata,Sales,2023-07-20,2021-05-19,126144.0,12350.74,Active,3.0,Smartwatch,490.0,2.0
157,,Aarav Joshi,aarav.joshi@yahoo.com,8569557988,Male,Chennai,Engineering,2021-04-09,2021-08-13,99549.0,8734.97,Inactive,2.0,Tablet,60.0,30.0
